"wordNo","origtext","boundary","prominence"
"0","हमारे","0","0"
"1","घर","0","0"
"2","की","0","0"
"3","सुगंध","0","0"
"4","बरामदे","0","0"
"5","में","0","0"
"6","बैठकर","0","0"
"7","चाय","0","0"
"8","पीते","0","0"
"9","हुए","0","0"
"10","कोपो","0","0"
"11","फूलों","0","0"
"12","और","0","0"
"13","पके","0","0"
"14","हुए","0","0"
"15","कटहल","0","0"
"16","की","0","0"
"17","ख़ुशबू","0","0"
"18","को","0","0"
"19","महसूस","0","0"
"20","करने","0","0"
"21","जैसी","0","0"
"22","है।","2","0"
"23","एक","0","0"
"24","दिन","0","0"
"25","हम","0","0"
"26","फिर","0","0"
"27","घर","0","0"
"28","पर","0","0"
"29","होंगें।","2","0"
