"wordNo","origtext","boundary","prominence"
"0","""Well,","2","0"
"1","you","0","0"
"2","got","0","0"
"3","what","0","0"
"4","you","0","0"
"5","paid","0","0"
"6","for,""","2","0"
"7","said","0","0"
"8","Foxy","0","0"
"9","Joxy.","2","0"
"10","""We","0","0"
"11","need","0","0"
"12","to","0","0"
"13","teach","0","0"
"14","Foxy","0","0"
"15","Joxy","0","0"
"16","a","0","0"
"17","lesson,""","2","0"
"18","said","0","0"
"19","Ellie","0","0"
"20","Elephant.","2","0"
"21","The","0","0"
"22","animals","0","0"
"23","gathered","0","0"
"24","around","0","0"
"25","and","0","0"
"26","came","0","0"
"27","up","0","0"
"28","with","0","0"
"29","a","0","0"
"30","plan.","2","0"
"31","""I","0","0"
"32","have","0","0"
"33","an","0","0"
"34","idea,""","2","0"
"35","said","0","0"
"36","Oliver","0","0"
"37","Owl.","2","0"
"38","They","0","0"
"39","took","0","0"
"40","an","0","0"
"41","empty","0","0"
"42","watermelon,","2","0"
"43","stuffed","0","0"
"44","Foxy","0","0"
"45","Joxy","0","0"
"46","into","0","0"
"47","it...","2","0"
"48","and","0","0"
"49","played","0","0"
"50","a","0","0"
"51","game","0","0"
"52","of","0","0"
"53","football","0","0"
"54","with","0","0"
"55","it.","2","0"
"56","Foxy","0","0"
"57","Joxy","0","0"
"58","was","0","0"
"59","dizzy!","2","0"
"60","He","0","0"
"61","learnt","0","0"
"62","his","0","0"
"63","lesson","0","0"
"64","and","0","0"
"65","never","0","0"
"66","cheated","0","0"
"67","again.","2","0"
