"wordNo","origtext","boundary","prominence"
"0","ऐसा","0","0"
"1","काम","0","0"
"2","क्या","0","0"
"3","कोई","0","0"
"4","कर","0","0"
"5","सकता","0","0"
"6","है?""","2","0"
"7","लेकिन","0","0"
"8","सच","0","0"
"9","तो","0","0"
"10","यह","0","0"
"11","था","0","0"
"12","कि","0","0"
"13","उसकी","0","0"
"14","इस","0","0"
"15","बात","0","0"
"16","का","0","0"
"17","किसी","0","0"
"18","के","0","0"
"19","पास","0","0"
"20","जवाब","0","0"
"21","ही","0","0"
"22","नहीं","0","0"
"23","था।","2","0"
"24","सबको","0","0"
"25","पता","0","0"
"26","था","0","0"
"27","अंडों","0","0"
"28","में","0","0"
"29","से","0","0"
"30","निकलेंगे","0","0"
"31","बच्चे,","2","0"
"32","बच्चों","0","0"
"33","के","0","0"
"34","आएँगे","0","0"
"35","पंख,","2","0"
"36","पंख","0","0"
"37","फैला","0","0"
"38","के","0","0"
"39","उड़","0","0"
"40","जाएँगे","0","0"
"41","वे","0","0"
"42","एक","0","0"
"43","दिन।","2","0"
"44","पर","0","0"
"45","भभो","0","0"
"46","टस","0","0"
"47","से","0","0"
"48","मस","0","0"
"49","न","0","0"
"50","होगी,","2","0"
"51","यूँ","0","0"
"52","ही","0","0"
"53","बैठी","0","0"
"54","रहेगी।","2","0"
