"wordNo","origtext","boundary","prominence"
"0","बरसात","0","0"
"1","में","0","0"
"2","भभो","0","0"
"3","भैंस","0","0"
"4","के","0","0"
"5","सींग","0","0"
"6","भीग","0","0"
"7","गए।","2","0"
"8","फिर","0","0"
"9","जब","0","0"
"10","हवा","0","0"
"11","चली","0","0"
"12","तो","0","0"
"13","गीले","0","0"
"14","सींगों","0","0"
"15","पर","0","0"
"16","धूल-मिट्टी","0","0"
"17","जम","0","0"
"18","गई।","2","0"
"19","भभो","0","0"
"20","ने","0","0"
"21","उन्हें","0","0"
"22","पोंछा","0","0"
"23","नहीं।","2","0"
"24","कुछ","0","0"
"25","दिनों","0","0"
"26","बाद","0","0"
"27","हुआ","0","0"
"28","यह","0","0"
"29","कि","0","0"
"30","एक","0","0"
"31","उड़ती","0","0"
"32","हुई","0","0"
"33","चिड़िया","0","0"
"34","की","0","0"
"35","चोंच","0","0"
"36","से","0","0"
"37","गिरकर","0","0"
"38","किसी","0","0"
"39","पेड़","0","0"
"40","का","0","0"
"41","बीज","0","0"
"42","सींग","0","0"
"43","पर","0","0"
"44","गिर","0","0"
"45","पड़ा।","2","0"
"46","भभो","0","0"
"47","को","0","0"
"48","पता","0","0"
"49","ही","0","0"
"50","नहीं","0","0"
"51","चला।","2","0"
"52","धीरे-धीरे","0","0"
"53","बीज","0","0"
"54","से","0","0"
"55","अंकुर","0","0"
"56","फूटा।","2","0"
"57","देखते","0","0"
"58","ही","0","0"
"59","देखते","0","0"
"60","पौधा","0","0"
"61","बड़ा","0","0"
"62","होने","0","0"
"63","लगा।","2","0"
"64","उस","0","0"
"65","पर","0","0"
"66","पत्ते","0","0"
"67","उग","0","0"
"68","आए।","2","0"
"69","टहनियाँ","0","0"
"70","फैलने","0","0"
"71","लगीं।","2","0"
"72","सभी","0","0"
"73","भभो","0","0"
"74","का","0","0"
"75","हाल","0","0"
"76","देख","0","0"
"77","चिंतित","0","0"
"78","होते,","2","0"
"79","मगर","0","0"
"80","भभो","0","0"
"81","कतई","0","0"
"82","परेशान","0","0"
"83","न","0","0"
"84","थी।","2","0"
"85","वह","0","0"
"86","कहीं","0","0"
"87","भी","0","0"
"88","बैठी","0","0"
"89","रहती।","2","0"
